feature,release_month,dominant_value,dominance_share,normalized_entropy,model_count
feature_activation,2023-12-01,silu,1.0,0.0,1
feature_activation,2024-03-01,silu,1.0,0.0,3
feature_activation,2024-07-01,gelu,0.5,0.9999999999971146,2
feature_activation,2024-08-01,gelu,1.0,0.0,1
feature_activation,2024-09-01,unknown,1.0,0.0,1
feature_activation,2024-12-01,unknown,1.0,0.0,1
feature_activation,2025-01-01,silu,1.0,0.0,3
feature_activation,2025-02-01,silu,0.6666666666666666,0.9182958340516042,3
feature_activation,2025-03-01,unknown,0.75,0.8112781244562475,4
feature_activation,2025-04-01,silu,0.9,0.46899559358639586,10
feature_activation,2025-05-01,silu,1.0,0.0,5
feature_activation,2025-07-01,silu,1.0,0.0,1
feature_activation,2025-08-01,silu,1.0,0.0,1
feature_activation,2025-09-01,silu,1.0,0.0,3
feature_activation,2025-10-01,silu,1.0,0.0,4
feature_activation,2025-11-01,silu,1.0,0.0,2
feature_activation,2025-12-01,unknown,1.0,0.0,1
feature_context,2023-12-01,<=8k,1.0,0.0,1
feature_context,2024-03-01,unknown,1.0,0.0,3
feature_context,2024-07-01,<=8k,0.5,0.9999999999971146,2
feature_context,2024-08-01,<=8k,1.0,0.0,1
feature_context,2024-09-01,unknown,1.0,0.0,1
feature_context,2024-12-01,unknown,1.0,0.0,1
feature_context,2025-01-01,32k-131k,1.0,0.0,3
feature_context,2025-02-01,8k-32k,0.3333333333333333,0.9999999999972693,3
feature_context,2025-03-01,unknown,0.5,0.9463946303544555,4
feature_context,2025-04-01,32k-131k,0.8,0.581671865715156,10
feature_context,2025-05-01,32k-131k,0.4,0.9602297178580305,5
feature_context,2025-07-01,32k-131k,1.0,0.0,1
feature_context,2025-08-01,32k-131k,1.0,0.0,1
feature_context,2025-09-01,32k-131k,1.0,0.0,3
feature_context,2025-10-01,32k-131k,0.5,0.9999999999971146,4
feature_context,2025-11-01,32k-131k,0.5,0.9999999999971146,2
feature_context,2025-12-01,32k-131k,1.0,0.0,1
feature_gqa,2023-12-01,gqa_high,1.0,0.0,1
feature_gqa,2024-03-01,unknown,1.0,0.0,3
feature_gqa,2024-07-01,mha,0.5,0.9999999999971146,2
feature_gqa,2024-08-01,mha,1.0,0.0,1
feature_gqa,2024-09-01,unknown,1.0,0.0,1
feature_gqa,2024-12-01,unknown,1.0,0.0,1
feature_gqa,2025-01-01,gqa_high,1.0,0.0,3
feature_gqa,2025-02-01,gqa_high,0.3333333333333333,0.9999999999972693,3
feature_gqa,2025-03-01,unknown,0.75,0.8112781244562475,4
feature_gqa,2025-04-01,gqa_mid,0.8,0.7219280948844771,10
feature_gqa,2025-05-01,gqa_high,0.6,0.9709505944517833,5
feature_gqa,2025-07-01,gqa_mid,1.0,0.0,1
feature_gqa,2025-08-01,gqa_high,1.0,0.0,1
feature_gqa,2025-09-01,gqa_mid,0.6666666666666666,0.9182958340516042,3
feature_gqa,2025-10-01,gqa_mid,1.0,0.0,4
feature_gqa,2025-11-01,gqa_high,0.5,0.9999999999971146,2
feature_gqa,2025-12-01,gqa_mid,1.0,0.0,1
feature_head_dim,2023-12-01,64,1.0,0.0,1
feature_head_dim,2024-03-01,unknown,1.0,0.0,3
feature_head_dim,2024-07-01,other,0.5,0.9999999999971146,2
feature_head_dim,2024-08-01,128,1.0,0.0,1
feature_head_dim,2024-09-01,unknown,1.0,0.0,1
feature_head_dim,2024-12-01,other,1.0,0.0,1
feature_head_dim,2025-01-01,128,1.0,0.0,3
feature_head_dim,2025-02-01,128,0.6666666666666666,0.9182958340516042,3
feature_head_dim,2025-03-01,unknown,0.5,0.9463946303544555,4
feature_head_dim,2025-04-01,128,1.0,0.0,10
feature_head_dim,2025-05-01,128,0.8,0.7219280948844771,5
feature_head_dim,2025-07-01,128,1.0,0.0,1
feature_head_dim,2025-08-01,64,1.0,0.0,1
feature_head_dim,2025-09-01,128,0.6666666666666666,0.9182958340516042,3
feature_head_dim,2025-10-01,128,0.5,0.9999999999971146,4
feature_head_dim,2025-11-01,128,1.0,0.0,2
feature_head_dim,2025-12-01,64,1.0,0.0,1
feature_kv_comp,2023-12-01,high,1.0,0.0,1
feature_kv_comp,2024-03-01,unknown,1.0,0.0,3
feature_kv_comp,2024-07-01,low,0.5,0.9999999999971146,2
feature_kv_comp,2024-08-01,low,1.0,0.0,1
feature_kv_comp,2024-09-01,unknown,1.0,0.0,1
feature_kv_comp,2024-12-01,unknown,1.0,0.0,1
feature_kv_comp,2025-01-01,high,1.0,0.0,3
feature_kv_comp,2025-02-01,high,0.3333333333333333,0.9999999999972693,3
feature_kv_comp,2025-03-01,unknown,0.75,0.8112781244562475,4
feature_kv_comp,2025-04-01,high,0.6,0.9709505944517833,10
feature_kv_comp,2025-05-01,high,1.0,0.0,5
feature_kv_comp,2025-07-01,high,1.0,0.0,1
feature_kv_comp,2025-08-01,high,1.0,0.0,1
feature_kv_comp,2025-09-01,high,0.6666666666666666,0.9182958340516042,3
feature_kv_comp,2025-10-01,high,0.5,0.9999999999971146,4
feature_kv_comp,2025-11-01,high,1.0,0.0,2
feature_kv_comp,2025-12-01,high,1.0,0.0,1
feature_norm,2023-12-01,rmsnorm,1.0,0.0,1
feature_norm,2024-03-01,unknown,1.0,0.0,3
feature_norm,2024-07-01,rmsnorm,0.5,0.9999999999971146,2
feature_norm,2024-08-01,rmsnorm,1.0,0.0,1
feature_norm,2024-09-01,unknown,1.0,0.0,1
feature_norm,2024-12-01,unknown,1.0,0.0,1
feature_norm,2025-01-01,rmsnorm,1.0,0.0,3
feature_norm,2025-02-01,rmsnorm,0.6666666666666666,0.9182958340516042,3
feature_norm,2025-03-01,unknown,0.75,0.8112781244562475,4
feature_norm,2025-04-01,rmsnorm,1.0,0.0,10
feature_norm,2025-05-01,rmsnorm,1.0,0.0,5
feature_norm,2025-07-01,rmsnorm,1.0,0.0,1
feature_norm,2025-08-01,rmsnorm,1.0,0.0,1
feature_norm,2025-09-01,rmsnorm,1.0,0.0,3
feature_norm,2025-10-01,rmsnorm,1.0,0.0,4
feature_norm,2025-11-01,rmsnorm,1.0,0.0,2
feature_norm,2025-12-01,unknown,1.0,0.0,1
feature_position,2023-12-01,rope,1.0,0.0,1
feature_position,2024-03-01,implicit_recurrence,1.0,0.0,3
feature_position,2024-07-01,rope,0.5,0.9999999999971146,2
feature_position,2024-08-01,rope,1.0,0.0,1
feature_position,2024-09-01,unknown,1.0,0.0,1
feature_position,2024-12-01,implicit_recurrence,1.0,0.0,1
feature_position,2025-01-01,rope,1.0,0.0,3
feature_position,2025-02-01,rope,0.6666666666666666,0.9182958340516042,3
feature_position,2025-03-01,unknown,0.75,0.8112781244562475,4
feature_position,2025-04-01,rope,0.8,0.581671865715156,10
feature_position,2025-05-01,rope,1.0,0.0,5
feature_position,2025-07-01,rope,1.0,0.0,1
feature_position,2025-08-01,rope,1.0,0.0,1
feature_position,2025-09-01,nope,0.6666666666666666,0.9182958340516042,3
feature_position,2025-10-01,nope,0.5,0.9999999999971146,4
feature_position,2025-11-01,rope,1.0,0.0,2
feature_position,2025-12-01,rope,1.0,0.0,1
