model,paradigm,layer_idx,strength,domain,accuracy,flip_rate,mean_edit_distance,mean_kl_divergence,mean_entropy,mean_margin,n_prompts
FalconH1-0.5B,hybrid,3,0.01,factual,0.9583333333333334,0.125,0.04994515916213096,0.0002979851685320038,0.7615578169934452,3.612095673878988,24
FalconH1-0.5B,hybrid,3,0.01,math,0.7916666666666666,0.125,0.04694444444444445,0.0002937412364190095,0.31812935695052147,3.9378255208333335,24
FalconH1-0.5B,hybrid,3,0.1,factual,0.9583333333333334,0.375,0.16473012486407054,0.0026835492953030857,0.7540881926155029,3.6069412231445312,24
FalconH1-0.5B,hybrid,3,0.1,math,0.8333333333333334,0.625,0.3822180338839931,0.005970605180967444,0.39164161309599876,3.8131510416666665,24
FalconH1-0.5B,hybrid,3,0.5,factual,0.9166666666666666,0.7083333333333334,0.4540845605035351,0.1194566803703007,0.9729229289417466,3.2149105072021484,24
FalconH1-0.5B,hybrid,3,0.5,math,0.4583333333333333,1.0,0.7898900337135633,0.25033055742581684,1.0739939647416274,3.2198893229166665,24
FalconH1-0.5B,hybrid,8,0.01,factual,0.9583333333333334,0.041666666666666664,0.03,0.000354060188802426,0.7624009402546411,3.6265131632486978,24
FalconH1-0.5B,hybrid,8,0.01,math,0.7916666666666666,0.16666666666666666,0.0913888888888889,0.0001657655802773661,0.30099696572870016,4.007161458333333,24
FalconH1-0.5B,hybrid,8,0.1,factual,0.9583333333333334,0.4583333333333333,0.27814007132147794,0.013788534258310392,0.7390627510321792,3.6871337890625,24
FalconH1-0.5B,hybrid,8,0.1,math,0.4166666666666667,0.8333333333333334,0.5244601433073919,0.012036260653985664,0.2482656752690673,4.062337239583333,24
FalconH1-0.5B,hybrid,8,0.5,factual,0.875,1.0,0.5946450097652926,0.4543028951084125,1.4863431821771276,2.65972900390625,24
FalconH1-0.5B,hybrid,8,0.5,math,0.125,1.0,0.83687034642917,0.2610092240696152,0.4676765163118641,4.2311553955078125,24
FalconH1-0.5B,hybrid,17,0.01,factual,0.9583333333333334,0.08333333333333333,0.049097222222222216,0.0002968109895817861,0.7667714776277231,3.62164306640625,24
FalconH1-0.5B,hybrid,17,0.01,math,0.7916666666666666,0.16666666666666666,0.07472222222222222,0.00014174920640167935,0.30933918866018456,4.00439453125,24
FalconH1-0.5B,hybrid,17,0.1,factual,0.9583333333333334,0.5833333333333334,0.3406395972018265,0.014738447560072624,0.8436058868634669,3.5817464192708335,24
FalconH1-0.5B,hybrid,17,0.1,math,0.75,0.6666666666666666,0.4219294213411861,0.008862352595315315,0.3263801233842969,3.8313802083333335,24
FalconH1-0.5B,hybrid,17,0.5,factual,0.75,0.9166666666666666,0.6059219330627387,0.5847463700411026,1.6118716597557068,2.608245849609375,24
FalconH1-0.5B,hybrid,17,0.5,math,0.125,1.0,0.8251777445121098,0.24554441341509423,0.7553109793613354,2.3063557942708335,24
FalconH1-0.5B,hybrid,26,0.01,factual,0.9583333333333334,0.041666666666666664,0.03,0.00020953210971204803,0.7723465353289308,3.596674601236979,24
FalconH1-0.5B,hybrid,26,0.01,math,0.7916666666666666,0.041666666666666664,0.03166666666666667,5.7731332465967476e-05,0.30736674182116985,4.005126953125,24
FalconH1-0.5B,hybrid,26,0.1,factual,0.9583333333333334,0.375,0.21310170234324266,0.007397318298975127,0.8260252104955725,3.5178019205729165,24
FalconH1-0.5B,hybrid,26,0.1,math,0.75,0.5416666666666666,0.3361539060068472,0.002270592924711915,0.336015772074461,3.896240234375,24
FalconH1-0.5B,hybrid,26,0.5,factual,0.8333333333333334,0.7916666666666666,0.4093331516794838,0.30245923018082976,1.5371747727816303,2.4983139038085938,24
FalconH1-0.5B,hybrid,26,0.5,math,0.5833333333333334,0.9583333333333334,0.7321557853910795,0.039582242568333946,0.4499709152927001,3.4901529947916665,24
FalconH1-0.5B,hybrid,31,0.01,factual,0.9583333333333334,0.041666666666666664,0.03,9.99261949867029e-05,0.770086007056913,3.6075897216796875,24
FalconH1-0.5B,hybrid,31,0.01,math,0.7916666666666666,0.041666666666666664,0.03166666666666667,4.6178195134416455e-05,0.3104919136191408,3.983154296875,24
FalconH1-0.5B,hybrid,31,0.1,factual,0.9583333333333334,0.4583333333333333,0.21727776254776754,0.005296114356193963,0.815097386832349,3.490386962890625,24
FalconH1-0.5B,hybrid,31,0.1,math,0.7083333333333334,0.375,0.22900494385788503,0.001359959411881088,0.3306524430712064,3.8771158854166665,24
FalconH1-0.5B,hybrid,31,0.5,factual,0.9583333333333334,0.9166666666666666,0.5306324174028522,0.23464497613410154,1.356505001584689,2.3380025227864585,24
FalconH1-0.5B,hybrid,31,0.5,math,0.6666666666666666,0.875,0.6609383454236396,0.03783529127637545,0.4889784250408411,3.4950408935546875,24
FalconH1-1.5B,hybrid,2,0.01,factual,0.9166666666666666,0.0,0.0,0.00017750540028297715,0.6119811976483712,3.576904296875,24
FalconH1-1.5B,hybrid,2,0.01,math,0.75,0.16666666666666666,0.109375,4.5683356091785754e-05,0.0488307437626645,6.5244140625,24
FalconH1-1.5B,hybrid,2,0.1,factual,0.9166666666666666,0.16666666666666666,0.06389112903225806,0.003188599446275475,0.6006636025073627,3.5472005208333335,24
FalconH1-1.5B,hybrid,2,0.1,math,0.7083333333333334,0.6666666666666666,0.35831462508378986,0.0007000615638996047,0.055097450385801494,6.29296875,24
FalconH1-1.5B,hybrid,2,0.5,factual,0.9166666666666666,0.875,0.4972967249443306,0.1287501375154534,0.728343152673915,3.1867268880208335,24
FalconH1-1.5B,hybrid,2,0.5,math,0.9166666666666666,1.0,0.7228591492571755,0.018064216754282825,0.16080476762726903,4.513346354166667,24
FalconH1-1.5B,hybrid,5,0.01,factual,0.9583333333333334,0.125,0.07291666666666667,0.0002613007634077273,0.6177043724649897,3.5610555013020835,24
FalconH1-1.5B,hybrid,5,0.01,math,0.75,0.125,0.07986111111111112,7.195287986405674e-05,0.04796833032742143,6.561197916666667,24
FalconH1-1.5B,hybrid,5,0.1,factual,0.9583333333333334,0.2916666666666667,0.17580664678265023,0.012425880070926118,0.6424795932446917,3.48046875,24
FalconH1-1.5B,hybrid,5,0.1,math,0.7916666666666666,0.5416666666666666,0.23795606734918326,0.002010619797753558,0.038359659064250685,6.930989583333333,24
FalconH1-1.5B,hybrid,5,0.5,factual,0.9166666666666666,0.9583333333333334,0.5755622141530469,0.21698897927611446,0.8490752289071679,2.8536834716796875,24
FalconH1-1.5B,hybrid,5,0.5,math,0.20833333333333334,1.0,0.820131351700078,0.06221972182781125,0.3328330460935831,5.587473551432292,24
FalconH1-1.5B,hybrid,11,0.01,factual,0.9583333333333334,0.08333333333333333,0.043750000000000004,0.00025635456961481395,0.6155149342957884,3.5602213541666665,24
FalconH1-1.5B,hybrid,11,0.01,math,0.7916666666666666,0.20833333333333334,0.10442773600668337,4.170446489600484e-05,0.047967509288961686,6.559244791666667,24
FalconH1-1.5B,hybrid,11,0.1,factual,0.9166666666666666,0.16666666666666666,0.08092421915002561,0.0063390534134365835,0.6026634152512997,3.5062662760416665,24
FalconH1-1.5B,hybrid,11,0.1,math,0.75,0.5,0.2810016467768184,0.0019067437527458726,0.03892953026418885,6.830729166666667,24
FalconH1-1.5B,hybrid,11,0.5,factual,0.9166666666666666,0.8333333333333334,0.4815351683033466,0.13763599757415554,0.894319569071134,2.7388407389322915,24
FalconH1-1.5B,hybrid,11,0.5,math,0.4166666666666667,1.0,0.7189409878197064,0.020484881397957604,0.11232982374106844,6.553304036458333,24
FalconH1-1.5B,hybrid,17,0.01,factual,0.9166666666666666,0.041666666666666664,0.013333333333333334,0.00016119437403479728,0.615875845697398,3.5665283203125,24
FalconH1-1.5B,hybrid,17,0.01,math,0.7916666666666666,0.20833333333333334,0.08587875939849625,6.951467162252811e-05,0.046172528993338346,6.623697916666667,24
FalconH1-1.5B,hybrid,17,0.1,factual,0.9583333333333334,0.16666666666666666,0.09178968763371843,0.004818921195389218,0.6268933100315431,3.51318359375,24
FalconH1-1.5B,hybrid,17,0.1,math,0.7916666666666666,0.7083333333333334,0.4595770552247001,0.0027230167240001415,0.027151941360595327,7.265625,24
FalconH1-1.5B,hybrid,17,0.5,factual,0.875,0.875,0.4739646459261846,0.18920115389240286,0.9792890126506487,2.9146219889322915,24
FalconH1-1.5B,hybrid,17,0.5,math,0.75,0.875,0.6233717687092973,0.018664830762039248,0.02151415349605183,8.172526041666666,24
FalconH1-1.5B,hybrid,20,0.01,factual,0.9166666666666666,0.0,0.0,0.0003278219286547331,0.6166686492506415,3.5718587239583335,24
FalconH1-1.5B,hybrid,20,0.01,math,0.7916666666666666,0.041666666666666664,0.013888888888888888,2.1930771784658038e-05,0.04874369513709098,6.557942708333333,24
FalconH1-1.5B,hybrid,20,0.1,factual,0.9166666666666666,0.041666666666666664,0.016666666666666666,0.005260156430267671,0.6476491237990558,3.4608561197916665,24
FalconH1-1.5B,hybrid,20,0.1,math,0.7916666666666666,0.20833333333333334,0.13020339743737913,0.000844170747162328,0.03942969464696944,6.823567708333333,24
FalconH1-1.5B,hybrid,20,0.5,factual,0.9166666666666666,0.625,0.3297249068819567,0.17357497091870755,1.0543075446039438,2.673095703125,24
FalconH1-1.5B,hybrid,20,0.5,math,0.7083333333333334,0.75,0.5534006452484713,0.009868955157192735,0.03812926557535926,7.349934895833333,24
Zamba2-1.2B,hybrid,3,0.01,factual,1.0,0.041666666666666664,0.01875,0.0004973019611801041,1.3424085583537817,2.5520833333333335,24
Zamba2-1.2B,hybrid,3,0.01,math,0.9166666666666666,0.08333333333333333,0.07692307692307693,0.0006642617026955122,1.513888714214166,1.59375,24
Zamba2-1.2B,hybrid,3,0.1,factual,1.0,0.2916666666666667,0.08793732858948466,0.0016605315201256114,1.3337739963705342,2.5989583333333335,24
Zamba2-1.2B,hybrid,3,0.1,math,0.9166666666666666,0.08333333333333333,0.07692307692307693,0.003375538083976911,1.4849379435181618,1.6197916666666667,24
Zamba2-1.2B,hybrid,3,0.5,factual,1.0,0.625,0.2522569187235509,0.04552978770031283,1.3799039721488953,2.6197916666666665,24
Zamba2-1.2B,hybrid,3,0.5,math,0.9166666666666666,0.20833333333333334,0.17104192104192104,0.06268747375967602,1.5375799983739853,1.7447916666666667,24
Zamba2-1.2B,hybrid,9,0.01,factual,1.0,0.125,0.03816214470284238,0.0006073927092984377,1.3294132724404335,2.5572916666666665,24
Zamba2-1.2B,hybrid,9,0.01,math,0.9166666666666666,0.041666666666666664,0.041666666666666664,0.0007638696388312383,1.4994741280873616,1.609375,24
Zamba2-1.2B,hybrid,9,0.1,factual,1.0,0.2916666666666667,0.11818737829816595,0.0021697728665609852,1.3269625039150317,2.5572916666666665,24
Zamba2-1.2B,hybrid,9,0.1,math,0.9166666666666666,0.125,0.10007122507122507,0.0044765701847306145,1.5073211342096329,1.5416666666666667,24
Zamba2-1.2B,hybrid,9,0.5,factual,0.9583333333333334,0.5833333333333334,0.31420523684564067,0.06127857571118511,1.4452379581828911,2.46875,24
Zamba2-1.2B,hybrid,9,0.5,math,0.5833333333333334,0.5,0.44434731934731936,0.151480080288214,1.8755386471748352,0.6041666666666666,24
Zamba2-1.2B,hybrid,18,0.01,factual,1.0,0.0,0.0,0.0004891084210309297,1.3318993144979079,2.5677083333333335,24
Zamba2-1.2B,hybrid,18,0.01,math,0.9583333333333334,0.041666666666666664,0.035256410256410256,0.0005778860989569997,1.5124177957574527,1.5677083333333333,24
Zamba2-1.2B,hybrid,18,0.1,factual,1.0,0.2916666666666667,0.12819782388747908,0.0029146105698600877,1.3620602985223134,2.53125,24
Zamba2-1.2B,hybrid,18,0.1,math,0.9583333333333334,0.08333333333333333,0.06217948717948718,0.005876243332750164,1.5799835075934727,1.3958333333333333,24
Zamba2-1.2B,hybrid,18,0.5,factual,0.9583333333333334,0.6666666666666666,0.30494565792690437,0.07565996314709385,1.6311507908006508,2.3020833333333335,24
Zamba2-1.2B,hybrid,18,0.5,math,0.75,0.5833333333333334,0.46665313852813856,0.10376558530454834,1.9598109126091003,0.96875,24
Zamba2-1.2B,hybrid,27,0.01,factual,1.0,0.08333333333333333,0.02418267610380856,0.0004991167296945301,1.3356552806993325,2.578125,24
Zamba2-1.2B,hybrid,27,0.01,math,0.9166666666666666,0.125,0.09366096866096867,0.0004920591857929443,1.5029932980736096,1.59375,24
Zamba2-1.2B,hybrid,27,0.1,factual,1.0,0.4166666666666667,0.15821535365840705,0.004740114662733201,1.3433177328358095,2.53125,24
Zamba2-1.2B,hybrid,27,0.1,math,0.9166666666666666,0.20833333333333334,0.13995726495726496,0.003791865092352964,1.535744195183118,1.4895833333333333,24
Zamba2-1.2B,hybrid,27,0.5,factual,0.9166666666666666,0.9583333333333334,0.4992666890199761,0.13351840801381817,1.7440889850258827,2.203125,24
Zamba2-1.2B,hybrid,27,0.5,math,0.7083333333333334,0.9166666666666666,0.7406890135534637,0.07629196244912843,1.7174262503782909,1.1015625,24
Zamba2-1.2B,hybrid,33,0.01,factual,1.0,0.041666666666666664,0.01875,0.00029644754992356564,1.3479925617575645,2.5520833333333335,24
Zamba2-1.2B,hybrid,33,0.01,math,0.9166666666666666,0.041666666666666664,0.041666666666666664,0.0005198697062951396,1.504093659420808,1.59375,24
Zamba2-1.2B,hybrid,33,0.1,factual,1.0,0.375,0.20192254940973808,0.004398628298683131,1.3602880310888092,2.53125,24
Zamba2-1.2B,hybrid,33,0.1,math,0.9166666666666666,0.16666666666666666,0.1168091168091168,0.003335048682250393,1.5258838832378387,1.5260416666666667,24
Zamba2-1.2B,hybrid,33,0.5,factual,0.9166666666666666,0.875,0.49515647936065915,0.1499175765978483,1.7776230573654175,2.0651041666666665,24
Zamba2-1.2B,hybrid,33,0.5,math,0.9166666666666666,0.7916666666666666,0.6280458798267387,0.05747299424062172,1.5526220450798671,1.3072916666666667,24
DSR1-1.5B,reasoning,2,0.01,factual,0.6666666666666666,0.125,0.07087141755477173,0.0019970245917330467,2.134464243213491,2.0260416666666665,24
DSR1-1.5B,reasoning,2,0.01,math,0.0,0.125,0.04567239671760045,0.002982153532987771,3.094814191261927,0.4010416666666667,24
DSR1-1.5B,reasoning,2,0.1,factual,0.6666666666666666,0.8333333333333334,0.42466770132753945,0.10477730951606645,2.3196615679965666,1.7526041666666667,24
DSR1-1.5B,reasoning,2,0.1,math,0.0,0.625,0.3885619578929214,0.13264372168729702,3.345340142647425,0.6171875,24
DSR1-1.5B,reasoning,2,0.5,factual,0.25,1.0,0.694486040508428,2.650041854629914,3.2477342188358307,1.2317708333333333,24
DSR1-1.5B,reasoning,2,0.5,math,0.041666666666666664,1.0,0.8918446406933249,1.6584453483422597,4.006851742664973,0.3671875,24
DSR1-1.5B,reasoning,6,0.01,factual,0.6666666666666666,0.16666666666666666,0.08545475088810507,0.0018559166608369537,2.137292016802045,2.0078125,24
DSR1-1.5B,reasoning,6,0.01,math,0.0,0.16666666666666666,0.061390317628282974,0.0025970408654150865,3.1019544204076133,0.3854166666666667,24
DSR1-1.5B,reasoning,6,0.1,factual,0.5833333333333334,0.9166666666666666,0.45378219577770196,0.10469317396291444,2.2590432002131515,1.859375,24
DSR1-1.5B,reasoning,6,0.1,math,0.0,0.7083333333333334,0.39833181854603555,0.13305371906608343,3.3393408159414926,0.6432291666666666,24
DSR1-1.5B,reasoning,6,0.5,factual,0.4166666666666667,1.0,0.6746945049848311,2.4007761596391597,3.0228249207139015,1.3541666666666667,24
DSR1-1.5B,reasoning,6,0.5,math,0.125,1.0,0.9130377533678349,2.790840824445089,3.8835156659285226,0.7057291666666666,24
DSR1-1.5B,reasoning,13,0.01,factual,0.6666666666666666,0.125,0.0578525641025641,0.0014969219397471534,2.1399315614253283,2.0,24
DSR1-1.5B,reasoning,13,0.01,math,0.0,0.125,0.02983239348370927,0.002376210890361108,3.1469667057196298,0.40625,24
DSR1-1.5B,reasoning,13,0.1,factual,0.5833333333333334,0.7916666666666666,0.4686580751082093,0.08012492568195739,2.2601013019060097,1.828125,24
DSR1-1.5B,reasoning,13,0.1,math,0.0,0.5416666666666666,0.274378474843815,0.16212709279110035,3.6701880594094596,0.4895833333333333,24
DSR1-1.5B,reasoning,13,0.5,factual,0.2916666666666667,1.0,0.7192934662780969,2.160605724900961,3.4970348924398422,0.8880208333333334,24
DSR1-1.5B,reasoning,13,0.5,math,0.0,1.0,0.8862540664958605,3.085063944260279,4.148023068904877,0.9635416666666666,24
DSR1-1.5B,reasoning,20,0.01,factual,0.6666666666666666,0.125,0.0824778058820612,0.0009775769491208546,2.1219192523664483,2.0338541666666665,24
DSR1-1.5B,reasoning,20,0.01,math,0.0,0.125,0.030822772657450075,0.0009826507169539884,3.085379938284556,0.3984375,24
DSR1-1.5B,reasoning,20,0.1,factual,0.5833333333333334,0.5833333333333334,0.2854655565761074,0.041431562243057364,2.1615660310878106,2.0078125,24
DSR1-1.5B,reasoning,20,0.1,math,0.0,0.75,0.42275214492364177,0.039509254430110254,3.202014684677124,0.421875,24
DSR1-1.5B,reasoning,20,0.5,factual,0.4583333333333333,0.9166666666666666,0.6258948478432785,0.8424940813953677,3.2712134942412376,0.9895833333333334,24
DSR1-1.5B,reasoning,20,0.5,math,0.08333333333333333,1.0,0.8152864862080736,0.8925003906091055,3.9350892305374146,0.4973958333333333,24
DSR1-1.5B,reasoning,24,0.01,factual,0.6666666666666666,0.08333333333333333,0.06270148291424887,0.0007985269700583331,2.1292431236167126,2.0234375,24
DSR1-1.5B,reasoning,24,0.01,math,0.0,0.041666666666666664,0.005376344086021505,0.0009721989420844087,3.0984002351760864,0.390625,24
DSR1-1.5B,reasoning,24,0.1,factual,0.75,0.5833333333333334,0.34590395945939845,0.036955500223484705,2.2019823386411495,2.0130208333333335,24
DSR1-1.5B,reasoning,24,0.1,math,0.0,0.7916666666666666,0.487635130705457,0.06108591294226547,3.299545814593633,0.3958333333333333,24
DSR1-1.5B,reasoning,24,0.5,factual,0.6666666666666666,0.9166666666666666,0.5185580839931573,0.7577470995408172,2.970310098181168,1.5026041666666667,24
DSR1-1.5B,reasoning,24,0.5,math,0.08333333333333333,1.0,0.8337788759937883,1.523744781812032,3.9001309176286063,0.6744791666666666,24
