model_name,paradigm,layer_frac,surgery_strength,jitter_strength,interaction
Qwen3-0.6B,transformer,0.19,0.06,0.04,0.048611111111111105
Qwen3-0.6B,transformer,0.19,0.06,0.08,0.09027777777777779
Qwen3-0.6B,transformer,0.19,0.12,0.04,0.02083333333333326
Qwen3-0.6B,transformer,0.19,0.12,0.08,0.10416666666666663
Qwen3-0.6B,transformer,0.48,0.06,0.04,0.0625
Qwen3-0.6B,transformer,0.48,0.06,0.08,0.12500000000000006
Qwen3-0.6B,transformer,0.48,0.12,0.04,0.048611111111111105
Qwen3-0.6B,transformer,0.48,0.12,0.08,0.09027777777777773
Qwen3-0.6B,transformer,0.78,0.06,0.04,0.02083333333333337
Qwen3-0.6B,transformer,0.78,0.06,0.08,-0.01388888888888895
Qwen3-0.6B,transformer,0.78,0.12,0.04,0.02777777777777779
Qwen3-0.6B,transformer,0.78,0.12,0.08,0.006944444444444309
Qwen3-1.7B,transformer,0.19,0.06,0.04,-0.00694444444444442
Qwen3-1.7B,transformer,0.19,0.06,0.08,-0.07638888888888895
Qwen3-1.7B,transformer,0.19,0.12,0.04,-0.02777777777777779
Qwen3-1.7B,transformer,0.19,0.12,0.08,-0.06944444444444453
Qwen3-1.7B,transformer,0.48,0.06,0.04,-0.02083333333333337
Qwen3-1.7B,transformer,0.48,0.06,0.08,-0.03472222222222232
Qwen3-1.7B,transformer,0.48,0.12,0.04,-0.03472222222222232
Qwen3-1.7B,transformer,0.48,0.12,0.08,-0.04166666666666674
Qwen3-1.7B,transformer,0.78,0.06,0.04,-0.01388888888888895
Qwen3-1.7B,transformer,0.78,0.06,0.08,-0.0277777777777779
Qwen3-1.7B,transformer,0.78,0.12,0.04,-0.01388888888888895
Qwen3-1.7B,transformer,0.78,0.12,0.08,-0.02777777777777779
Qwen2.5-0.5B,transformer,0.17,0.06,0.04,0.0
Qwen2.5-0.5B,transformer,0.17,0.06,0.08,-0.006944444444444531
Qwen2.5-0.5B,transformer,0.17,0.12,0.04,-0.006944444444444531
Qwen2.5-0.5B,transformer,0.17,0.12,0.08,-0.04166666666666674
Qwen2.5-0.5B,transformer,0.48,0.06,0.04,0.02777777777777768
Qwen2.5-0.5B,transformer,0.48,0.06,0.08,0.04166666666666663
Qwen2.5-0.5B,transformer,0.48,0.12,0.04,0.02083333333333326
Qwen2.5-0.5B,transformer,0.48,0.12,0.08,0.0
Qwen2.5-0.5B,transformer,0.78,0.06,0.04,-0.006944444444444531
Qwen2.5-0.5B,transformer,0.78,0.06,0.08,-1.1102230246251565e-16
Qwen2.5-0.5B,transformer,0.78,0.12,0.04,-0.02083333333333337
Qwen2.5-0.5B,transformer,0.78,0.12,0.08,-0.01388888888888895
Qwen2.5-1.5B,transformer,0.19,0.06,0.04,0.0
Qwen2.5-1.5B,transformer,0.19,0.06,0.08,-0.02083333333333326
Qwen2.5-1.5B,transformer,0.19,0.12,0.04,-0.00694444444444442
Qwen2.5-1.5B,transformer,0.19,0.12,0.08,0.01388888888888895
Qwen2.5-1.5B,transformer,0.48,0.06,0.04,-0.034722222222222154
Qwen2.5-1.5B,transformer,0.48,0.06,0.08,-0.034722222222222154
Qwen2.5-1.5B,transformer,0.48,0.12,0.04,-0.01388888888888884
Qwen2.5-1.5B,transformer,0.48,0.12,0.08,1.1102230246251565e-16
Qwen2.5-1.5B,transformer,0.78,0.06,0.04,-0.006944444444444309
Qwen2.5-1.5B,transformer,0.78,0.06,0.08,0.01388888888888895
Qwen2.5-1.5B,transformer,0.78,0.12,0.04,-0.02777777777777768
Qwen2.5-1.5B,transformer,0.78,0.12,0.08,-0.01388888888888884
Gemma3-1B,transformer,0.2,0.06,0.04,-0.01388888888888895
Gemma3-1B,transformer,0.2,0.06,0.08,0.13888888888888884
Gemma3-1B,transformer,0.2,0.12,0.04,0.06944444444444436
Gemma3-1B,transformer,0.2,0.12,0.08,0.34027777777777773
Gemma3-1B,transformer,0.48,0.06,0.04,-0.06944444444444442
Gemma3-1B,transformer,0.48,0.06,0.08,0.03472222222222224
Gemma3-1B,transformer,0.48,0.12,0.04,0.041666666666666685
Gemma3-1B,transformer,0.48,0.12,0.08,0.2638888888888889
Gemma3-1B,transformer,0.8,0.06,0.04,-0.02083333333333337
Gemma3-1B,transformer,0.8,0.06,0.08,-0.06944444444444448
Gemma3-1B,transformer,0.8,0.12,0.04,0.02083333333333326
Gemma3-1B,transformer,0.8,0.12,0.08,0.013888888888888784
Gemma2-2B,transformer,0.2,0.06,0.04,0.00694444444444442
Gemma2-2B,transformer,0.2,0.06,0.08,-0.006944444444444531
Gemma2-2B,transformer,0.2,0.12,0.04,0.0
Gemma2-2B,transformer,0.2,0.12,0.08,-0.01388888888888895
Gemma2-2B,transformer,0.48,0.06,0.04,-0.01388888888888895
Gemma2-2B,transformer,0.48,0.06,0.08,-0.01388888888888895
Gemma2-2B,transformer,0.48,0.12,0.04,0.0
Gemma2-2B,transformer,0.48,0.12,0.08,-0.02083333333333337
Gemma2-2B,transformer,0.8,0.06,0.04,0.0
Gemma2-2B,transformer,0.8,0.06,0.08,0.0
Gemma2-2B,transformer,0.8,0.12,0.04,0.0
Gemma2-2B,transformer,0.8,0.12,0.08,-0.00694444444444442
Mamba-130M,ssm,0.17,0.06,0.04,-0.0069444444444444475
Mamba-130M,ssm,0.17,0.06,0.08,-0.0069444444444444475
Mamba-130M,ssm,0.17,0.12,0.04,0.0
Mamba-130M,ssm,0.17,0.12,0.08,-0.0069444444444444475
Mamba-130M,ssm,0.48,0.06,0.04,-0.02777777777777779
Mamba-130M,ssm,0.48,0.06,0.08,-0.02777777777777779
Mamba-130M,ssm,0.48,0.12,0.04,-0.027777777777777762
Mamba-130M,ssm,0.48,0.12,0.08,-0.020833333333333343
Mamba-130M,ssm,0.78,0.06,0.04,0.0069444444444444475
Mamba-130M,ssm,0.78,0.06,0.08,-0.027777777777777762
Mamba-130M,ssm,0.78,0.12,0.04,-0.00694444444444442
Mamba-130M,ssm,0.78,0.12,0.08,-0.027777777777777762
Mamba-370M,ssm,0.19,0.06,0.04,-0.00694444444444442
Mamba-370M,ssm,0.19,0.06,0.08,-0.00694444444444442
Mamba-370M,ssm,0.19,0.12,0.04,-0.00694444444444442
Mamba-370M,ssm,0.19,0.12,0.08,0.0
Mamba-370M,ssm,0.49,0.06,0.04,0.013888888888888867
Mamba-370M,ssm,0.49,0.06,0.08,0.020833333333333315
Mamba-370M,ssm,0.49,0.12,0.04,2.7755575615628914e-17
Mamba-370M,ssm,0.49,0.12,0.08,0.006944444444444475
Mamba-370M,ssm,0.79,0.06,0.04,0.013888888888888895
Mamba-370M,ssm,0.79,0.06,0.08,0.0
Mamba-370M,ssm,0.79,0.12,0.04,0.006944444444444475
Mamba-370M,ssm,0.79,0.12,0.08,-0.01388888888888884
Mamba-790M,ssm,0.19,0.06,0.04,-0.0069444444444444475
Mamba-790M,ssm,0.19,0.06,0.08,0.013888888888888895
Mamba-790M,ssm,0.19,0.12,0.04,0.013888888888888881
Mamba-790M,ssm,0.19,0.12,0.08,0.0069444444444444475
Mamba-790M,ssm,0.49,0.06,0.04,0.0
Mamba-790M,ssm,0.49,0.06,0.08,0.0
Mamba-790M,ssm,0.49,0.12,0.04,-0.0069444444444444475
Mamba-790M,ssm,0.49,0.12,0.08,-0.020833333333333343
Mamba-790M,ssm,0.79,0.06,0.04,0.0069444444444444475
Mamba-790M,ssm,0.79,0.06,0.08,0.0
Mamba-790M,ssm,0.79,0.12,0.04,0.006944444444444434
Mamba-790M,ssm,0.79,0.12,0.08,0.006944444444444434
Mamba-2.8B,ssm,0.19,0.06,0.04,0.0
Mamba-2.8B,ssm,0.19,0.06,0.08,0.0
Mamba-2.8B,ssm,0.19,0.12,0.04,0.0
Mamba-2.8B,ssm,0.19,0.12,0.08,-0.013888888888888895
Mamba-2.8B,ssm,0.49,0.06,0.04,0.013888888888888895
Mamba-2.8B,ssm,0.49,0.06,0.08,0.02083333333333337
Mamba-2.8B,ssm,0.49,0.12,0.04,0.013888888888888895
Mamba-2.8B,ssm,0.49,0.12,0.08,0.006944444444444475
Mamba-2.8B,ssm,0.79,0.06,0.04,0.013888888888888895
Mamba-2.8B,ssm,0.79,0.06,0.08,0.01388888888888895
Mamba-2.8B,ssm,0.79,0.12,0.04,0.006944444444444475
Mamba-2.8B,ssm,0.79,0.12,0.08,0.006944444444444475
FalconH1-0.5B,hybrid,0.2,0.06,0.04,0.01388888888888884
FalconH1-0.5B,hybrid,0.2,0.06,0.08,0.01388888888888895
FalconH1-0.5B,hybrid,0.2,0.12,0.04,-0.006944444444444531
FalconH1-0.5B,hybrid,0.2,0.12,0.08,-0.04166666666666663
FalconH1-0.5B,hybrid,0.49,0.06,0.04,0.0
FalconH1-0.5B,hybrid,0.49,0.06,0.08,-0.01388888888888884
FalconH1-0.5B,hybrid,0.49,0.12,0.04,0.01388888888888895
FalconH1-0.5B,hybrid,0.49,0.12,0.08,-0.01388888888888884
FalconH1-0.5B,hybrid,0.8,0.06,0.04,-0.01388888888888884
FalconH1-0.5B,hybrid,0.8,0.06,0.08,-0.006944444444444531
FalconH1-0.5B,hybrid,0.8,0.12,0.04,0.02777777777777779
FalconH1-0.5B,hybrid,0.8,0.12,0.08,0.02083333333333326
Zamba2-1.2B,hybrid,0.19,0.06,0.04,0.0
Zamba2-1.2B,hybrid,0.19,0.06,0.08,0.0
Zamba2-1.2B,hybrid,0.19,0.12,0.04,0.0
Zamba2-1.2B,hybrid,0.19,0.12,0.08,0.0
Zamba2-1.2B,hybrid,0.49,0.06,0.04,0.0
Zamba2-1.2B,hybrid,0.49,0.06,0.08,0.0
Zamba2-1.2B,hybrid,0.49,0.12,0.04,0.0
Zamba2-1.2B,hybrid,0.49,0.12,0.08,0.0
Zamba2-1.2B,hybrid,0.78,0.06,0.04,0.0
Zamba2-1.2B,hybrid,0.78,0.06,0.08,0.0
Zamba2-1.2B,hybrid,0.78,0.12,0.04,0.0
Zamba2-1.2B,hybrid,0.78,0.12,0.08,0.0
